2021-02-12 10:03:32.585857 | memory_stats : total:8589934592,available:2336051200,percent:72.8,used:4408274944,free:33021952,active:2305994752
2021-02-12 10:10:07.121386 | memory_stats : total:8589934592,available:2255376384,percent:73.7,used:4380188672,free:18755584,active:2256674816
2021-02-12 10:13:39.068978 | memory_stats : total:8589934592,available:2233303040,percent:74.0,used:4408209408,free:23953408,active:2210357248
2021-02-12 10:14:52.101011 | memory_stats : total:8589934592,available:2254360576,percent:73.8,used:4391526400,free:28160000,active:2230415360
2021-02-12 10:18:13.499039 | memory_stats : total:8589934592,available:2271424512,percent:73.6,used:4367720448,free:81666048,active:2190479360
2021-02-12 10:18:23.855299 | memory_stats : total:8589934592,available:2251534336,percent:73.8,used:4385583104,free:72699904,active:2184880128
2021-02-12 10:18:34.299008 | memory_stats : total:8589934592,available:2250485760,percent:73.8,used:4378066944,free:19607552,active:2235133952
2021-02-12 10:18:44.594637 | memory_stats : total:8589934592,available:2255409152,percent:73.7,used:4369068032,free:17555456,active:2238894080
2021-02-12 10:18:55.018172 | memory_stats : total:8589934592,available:2263150592,percent:73.7,used:4359831552,free:20926464,active:2242977792
2021-02-12 10:19:05.385628 | memory_stats : total:8589934592,available:2274717696,percent:73.5,used:4343205888,free:39526400,active:2236108800
2021-02-12 10:19:15.658749 | memory_stats : total:8589934592,available:2210947072,percent:74.3,used:4405481472,free:27820032,active:2183946240
2021-02-12 10:19:26.046633 | memory_stats : total:8589934592,available:2241810432,percent:73.9,used:4374528000,free:54550528,active:2188820480
2021-02-12 10:24:46.888468 | memory_stats : total:8589934592,available:2234576896,percent:74.0,used:4311900160,free:30240768,active:2206973952
2021-02-12 10:24:57.253652 | memory_stats : total:8589934592,available:2278711296,percent:73.5,used:4331732992,free:23044096,active:2230431744
2021-02-12 11:03:54.921542 | memory_stats : total:8589934592| available:2349166592| percent:72.7| used:4409888768| free:22904832| active:2327986176
2021-02-12 11:04:05.266104 | memory_stats : total:8589934592| available:2203713536| percent:74.3| used:4411371520| free:16359424| active:2188972032
2021-02-12 11:04:15.506316 | memory_stats : total:8589934592| available:2211430400| percent:74.3| used:4410138624| free:18767872| active:2193702912
2021-02-12 11:13:28.858801 | memory_stats : total:8589934592| available:2946867200| percent:65.7| used:4751048704| free:282177536| active:2667040768
2021-02-12 11:13:39.339888 | memory_stats : total:8589934592| available:2941722624| percent:65.8| used:4765184000| free:241831936| active:2701398016
2021-02-12 11:13:49.495309 | memory_stats : total:8589934592| available:2911387648| percent:66.1| used:4790689792| free:222113792| active:2691854336
2021-02-12 11:13:59.662315 | memory_stats : total:8589934592| available:2853761024| percent:66.8| used:4823797760| free:133312512| active:2720550912
2021-02-12 11:14:09.831044 | memory_stats : total:8589934592| available:2835193856| percent:67.0| used:4832727040| free:107077632| active:2729889792
2021-02-12 11:14:19.984824 | memory_stats : total:8589934592| available:2814443520| percent:67.2| used:4860157952| free:69517312| active:2747428864
2021-02-12 11:14:30.145121 | memory_stats : total:8589934592| available:2788814848| percent:67.5| used:4886749184| free:26263552| active:2774982656
2021-02-12 11:14:40.314222 | memory_stats : total:8589934592| available:2818809856| percent:67.2| used:4843491328| free:66121728| active:2756055040
2021-02-12 11:14:50.747638 | memory_stats : total:8589934592| available:2761203712| percent:67.9| used:4897378304| free:15970304| active:2747744256
2021-02-12 11:15:00.910363 | memory_stats : total:8589934592| available:2820567040| percent:67.2| used:4834881536| free:18292736| active:2808180736
2021-02-12 11:15:11.071808 | memory_stats : total:8589934592| available:2785398784| percent:67.6| used:4869242880| free:16293888| active:2827583488
2021-02-12 11:15:21.233417 | memory_stats : total:8589934592| available:2779664384| percent:67.6| used:4863098880| free:17551360| active:2764357632
2021-02-12 11:15:31.935293 | memory_stats : total:8589934592| available:2752684032| percent:68.0| used:4825042944| free:37462016| active:2758098944
