2021-02-12 11:26:53.872623| CPU percent: 17.2 %
2021-02-12 11:27:04.021908| CPU percent: 21.1 %
2021-02-12 11:27:14.235006| CPU percent: 28.3 %
2021-02-12 11:27:24.417171| CPU percent: 27.4 %
2021-02-12 11:27:34.580183| CPU percent: 23.3 %
2021-02-12 11:27:44.735929| CPU percent: 20.8 %
2021-02-12 11:27:54.894191| CPU percent: 26.5 %
2021-02-12 11:28:05.051809| CPU percent: 27.7 %
2021-02-12 11:28:15.206402| CPU percent: 28.1 %
2021-02-12 11:28:25.394981| CPU percent: 24.0 %
2021-02-12 11:28:35.562130| CPU percent: 22.2 %
2021-02-12 11:28:45.724273| CPU percent: 29.2 %
2021-02-12 11:28:55.875329| CPU percent: 19.6 %
2021-02-12 11:29:06.033830| CPU percent: 26.4 %
2021-02-12 11:29:16.209516| CPU percent: 42.2 %
2021-02-12 11:29:26.385079| CPU percent: 23.7 %
2021-02-12 11:29:36.560604| CPU percent: 21.1 %
2021-02-12 11:29:46.710888| CPU percent: 18.5 %
2021-02-12 11:29:56.860618| CPU percent: 23.1 %
2021-02-12 11:30:07.032653| CPU percent: 23.7 %
2021-02-12 11:30:17.198775| CPU percent: 21.6 %
2021-02-12 11:30:27.375765| CPU percent: 33.4 %
2021-02-12 11:30:37.573444| CPU percent: 30.8 %
2021-02-12 11:30:47.769085| CPU percent: 28.8 %
2021-02-12 11:30:57.923487| CPU percent: 26.1 %
2021-02-12 11:31:08.087804| CPU percent: 17.5 %
2021-02-12 11:31:18.244225| CPU percent: 26.2 %
2021-02-12 11:31:28.408428| CPU percent: 26.3 %
2021-02-12 11:31:38.564141| CPU percent: 25.0 %
2021-02-12 11:31:48.719790| CPU percent: 27.8 %
2021-02-12 11:31:58.873570| CPU percent: 27.2 %
2021-02-12 11:32:09.054569| CPU percent: 24.1 %
2021-02-12 11:32:19.236986| CPU percent: 28.3 %
2021-02-12 11:32:29.392694| CPU percent: 27.1 %
2021-02-12 11:32:39.591779| CPU percent: 28.7 %
2021-02-12 11:32:49.761881| CPU percent: 27.6 %
2021-02-12 11:33:00.003518| CPU percent: 25.6 %
2021-02-12 11:33:10.159370| CPU percent: 24.1 %
2021-02-12 11:33:20.308014| CPU percent: 16.9 %
2021-02-12 11:33:30.458284| CPU percent: 19.0 %
2021-02-12 11:33:40.610041| CPU percent: 31.9 %
2021-02-12 11:33:50.764585| CPU percent: 28.7 %
2021-02-12 11:34:00.918460| CPU percent: 28.2 %
2021-02-12 11:34:11.167842| CPU percent: 27.8 %
2021-02-12 11:34:21.333068| CPU percent: 29.8 %
2021-02-12 11:34:31.567723| CPU percent: 28.1 %
2021-02-12 11:34:41.718003| CPU percent: 22.9 %
2021-02-12 11:34:51.897892| CPU percent: 18.6 %
2021-02-12 11:35:02.047152| CPU percent: 17.6 %
2021-02-12 11:35:12.207574| CPU percent: 22.2 %
2021-02-12 11:35:22.362888| CPU percent: 20.8 %
2021-02-12 11:35:32.520931| CPU percent: 27.7 %
2021-02-12 11:35:42.806077| CPU percent: 28.9 %
2021-02-12 11:35:52.983251| CPU percent: 23.7 %
2021-02-12 11:36:03.132556| CPU percent: 22.0 %
2021-02-12 11:36:13.282375| CPU percent: 21.6 %
2021-02-12 11:36:23.510285| CPU percent: 26.7 %
2021-02-12 11:36:33.658236| CPU percent: 17.6 %
2021-02-12 11:36:43.810885| CPU percent: 17.1 %
2021-02-12 11:36:53.962533| CPU percent: 18.1 %
2021-02-12 11:37:04.112103| CPU percent: 28.0 %
2021-02-12 11:37:14.282087| CPU percent: 28.0 %
2021-02-12 11:37:24.445592| CPU percent: 24.8 %
2021-02-12 11:37:34.599416| CPU percent: 23.0 %
2021-02-12 11:37:44.773639| CPU percent: 26.5 %
2021-02-12 11:37:54.939826| CPU percent: 22.6 %
2021-02-12 11:38:05.120724| CPU percent: 29.2 %
2021-02-12 11:38:15.292658| CPU percent: 28.3 %
2021-02-12 11:38:25.469248| CPU percent: 31.1 %
2021-02-12 11:38:35.639826| CPU percent: 26.7 %
2021-02-12 11:38:45.810523| CPU percent: 25.4 %
2021-02-12 11:38:55.987207| CPU percent: 28.5 %
2021-02-12 11:39:06.152273| CPU percent: 25.4 %
2021-02-12 11:39:16.305200| CPU percent: 29.7 %
2021-02-12 11:39:26.481467| CPU percent: 24.7 %
2021-02-12 11:39:36.652770| CPU percent: 26.0 %
2021-02-12 11:39:46.813121| CPU percent: 31.4 %
2021-02-12 11:39:56.977649| CPU percent: 26.3 %
2021-02-12 11:40:07.138737| CPU percent: 33.9 %
2021-02-12 11:40:17.323104| CPU percent: 33.7 %
2021-02-12 11:40:27.529968| CPU percent: 33.9 %
2021-02-12 11:40:37.699262| CPU percent: 28.5 %
2021-02-12 11:40:47.854574| CPU percent: 23.7 %
2021-02-12 11:40:58.011702| CPU percent: 24.6 %
2021-02-12 11:41:08.172732| CPU percent: 25.7 %
2021-02-12 11:41:18.331597| CPU percent: 24.5 %
2021-02-12 11:41:28.490121| CPU percent: 23.7 %
2021-02-12 11:41:38.650815| CPU percent: 27.7 %
2021-02-12 11:41:48.824045| CPU percent: 22.5 %
2021-02-12 11:41:58.982195| CPU percent: 21.2 %
